 Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K),Discovery method,Discovery Year,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks,Mass Category,Period Category,Distance Category,Radius Category,Star Temp Category,IS Habbitable
Kepler-323c,1.981,0.145,3.554,0.046,1442.00,Transit,2006,1500.000,1.090,5987,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-324b,1.981,0.102,4.385,0.050,1442.00,Transit,2006,1659.000,0.860,5194,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-324c,1.981,0.281,51.806,0.260,1442.00,Transit,2006,1659.000,0.860,5194,None,Giant,Short,Far,Small,Sun-like,0
Kepler-325b,1.981,0.260,4.544,0.053,1442.00,Transit,2006,2740.000,0.870,5752,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-325c,1.981,0.227,12.762,0.105,1442.00,Transit,2006,2740.000,0.870,5752,None,Giant,Short,Far,Small,Sun-like,0
Kepler-325d,1.981,0.249,38.715,0.220,1442.00,Transit,2006,2740.000,0.870,5752,None,Giant,Short,Far,Small,Sun-like,0
Kepler-326b,1.981,0.136,2.248,0.032,1442.00,Transit,2006,1610.000,0.980,5105,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-326c,1.981,0.125,4.580,0.051,1442.00,Transit,2006,1610.000,0.980,5105,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-326d,1.981,0.108,6.767,0.066,1442.00,Transit,2006,1610.000,0.980,5105,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-327b,1.981,0.099,2.550,0.029,1442.00,Transit,2006,794.000,0.550,3799,None,Giant,Ultra Short,Far,Small,Cool,0
Kepler-327c,1.981,0.092,5.212,0.047,1442.00,Transit,2006,794.000,0.550,3799,None,Giant,Ultra Short,Far,Small,Cool,0
Kepler-327d,1.981,0.154,13.969,0.090,1442.00,Transit,2006,794.000,0.550,3799,None,Giant,Short,Far,Small,Cool,0
Kepler-328b,0.090,0.205,34.921,1442.000,1442.00,Transit,2006,7700.000,1.150,5914,None,Small,Short,Far,Small,Sun-like,0
Kepler-328c,0.124,0.482,71.312,1442.000,1442.00,Transit,2006,7700.000,1.150,5914,None,Medium,Short,Far,Small,Sun-like,0
Kepler-329b,1.981,0.125,7.416,0.061,1442.00,Transit,2006,1450.000,0.530,4257,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-329c,1.981,0.172,18.685,0.113,1442.00,Transit,2006,1450.000,0.530,4257,None,Giant,Short,Far,Small,Sun-like,0
Kepler-32b,4.100,0.196,5.901,0.050,530.00,Transit,2006,1066.000,0.580,3900,None,Giant,Ultra Short,Far,Small,Cool,0
Kepler-32c,0.500,0.178,8.752,0.090,470.00,Transit,2006,1066.000,0.580,3900,None,Medium,Ultra Short,Far,Small,Cool,0
Kepler-32d,1.981,0.241,22.780,0.130,1442.00,Transit,2006,990.000,0.580,3900,None,Giant,Short,Far,Small,Cool,0
Kepler-32e,1.981,0.134,2.896,0.033,1442.00,Transit,2006,990.000,0.580,3900,Weak evidence,Giant,Ultra Short,Far,Small,Cool,0
Kepler-32f,1.981,0.073,0.743,0.013,1442.00,Transit,2006,990.000,0.580,3900,Weak evidence,Giant,Ultra Short,Far,Small,Cool,0
Kepler-330b,1.981,0.120,8.260,0.075,1442.00,Transit,2006,2380.000,0.780,5117,None,Giant,Ultra Short,Far,Small,Sun-like,0
Kepler-330c,1.981,0.174,15.955,0.116,1442.00,Transit,2006,2380.000,0.780,5117,None,Giant,Short,Far,Small,Sun-like,0
